*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-1011-0-CCS *{1,1} 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: *{1,1}
Support: 179

55 60 65 144 147 330 338 479 499 672 675 696 699 766 770 781 882 885 994 998 1066 1069 1124 1127 1222 1233 1238 1241 1254 1332 1335 1427 1431 1486 1496 1597 1600 1683 1687 1795 1798 1808 1815 1827 1915 2001 3794 3805 4226 4245 4532 4535 4638 4641 4656 4663 4669 4892 4896 5009 5012 5071 5074 5138 5141 5228 5231 5235 5306 5310 5315 5318 5397 5400 5467 5476 5536 5564 5623 5630 5734 5738 5749 5754 5757 5819 5822 5824 5881 5892 5956 5961 6009 6022 6107 6111 6114 6203 6206 6211 6214 6287 6290 6347 6366 6446 6459 6546 6567 6570 6621 6636 6713 6716 6721 6724 6770 6775 6822 6901 7715 7727 10247 10250 10253 10327 10330 10396 10429 10434 10437 10514 10534 10679 10690 11036 11048 11075 11294 11322 11487 11499 11648 11667 11677 11686 11849 11860 12182 12192 12205 13625 13719 13814 13817 13874 13887 14044 14053 14509 15258 17752 17876 18025 18162 19152 21093 21250 21536 21557 21780 21792 21844 21855 21860 21863 21867 22310 22481 
000055 02.06 14:22:55.440 [192.168.255.129] e7 FCT-1011-0-CCS <2019-06-02T06:22:58.175310Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000060 02.06 14:22:55.534 [192.168.255.129] eb FCT-1011-0-CCS <2019-06-02T06:22:58.257477Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000065 02.06 14:22:55.643 [192.168.255.129] f0 FCT-1011-0-CCS <2019-06-02T06:22:58.385740Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
000144 02.06 14:22:56.438 [192.168.255.129] 1d FCT-1011-0-CCS <2019-06-02T06:22:59.174297Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000147 02.06 14:22:56.532 [192.168.255.129] 20 FCT-1011-0-CCS <2019-06-02T06:22:59.258550Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000330 02.06 14:22:57.474 [192.168.255.129] 87 FCT-1011-0-CCS <2019-06-02T06:23:00.211894Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000338 02.06 14:22:57.568 [192.168.255.129] 8e FCT-1011-0-CCS <2019-06-02T06:23:00.293758Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000479 02.06 14:22:58.457 [192.168.255.129] 01 FCT-1011-0-CCS <2019-06-02T06:23:01.179107Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000499 02.06 14:22:58.542 [192.168.255.129] 15 FCT-1011-0-CCS <2019-06-02T06:23:01.265106Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000672 02.06 14:22:59.446 [192.168.255.129] 7c FCT-1011-0-CCS <2019-06-02T06:23:02.184761Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000675 02.06 14:22:59.524 [192.168.255.129] 7f FCT-1011-0-CCS <2019-06-02T06:23:02.267019Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000696 02.06 14:22:59.587 [192.168.255.129] 94 FCT-1011-0-CCS <2019-06-02T06:23:02.315553Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
000699 02.06 14:22:59.618 [192.168.255.129] 97 FCT-1011-0-CCS <2019-06-02T06:23:02.340591Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
000766 02.06 14:23:00.430 [192.168.255.129] b8 FCT-1011-0-CCS <2019-06-02T06:23:03.174355Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000770 02.06 14:23:00.523 [192.168.255.129] bb FCT-1011-0-CCS <2019-06-02T06:23:03.258507Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000781 02.06 14:23:00.666 [192.168.255.129] c6 FCT-1011-0-CCS <2019-06-02T06:23:03.389829Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
000882 02.06 14:23:01.451 [192.168.255.129] 07 FCT-1011-0-CCS <2019-06-02T06:23:04.176266Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000885 02.06 14:23:01.531 [192.168.255.129] 0a FCT-1011-0-CCS <2019-06-02T06:23:04.260398Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
000994 02.06 14:23:02.439 [192.168.255.129] 44 FCT-1011-0-CCS <2019-06-02T06:23:05.168908Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
000998 02.06 14:23:02.529 [192.168.255.129] 47 FCT-1011-0-CCS <2019-06-02T06:23:05.252824Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001066 02.06 14:23:03.459 [192.168.255.129] 70 FCT-1011-0-CCS <2019-06-02T06:23:06.194020Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001069 02.06 14:23:03.542 [192.168.255.129] 73 FCT-1011-0-CCS <2019-06-02T06:23:06.278084Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001124 02.06 14:23:04.442 [192.168.255.129] 8d FCT-1011-0-CCS <2019-06-02T06:23:07.173706Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001127 02.06 14:23:04.534 [192.168.255.129] 90 FCT-1011-0-CCS <2019-06-02T06:23:07.257676Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001222 02.06 14:23:05.443 [192.168.255.129] cf FCT-1011-0-CCS <2019-06-02T06:23:08.175591Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001233 02.06 14:23:05.528 [192.168.255.129] d8 FCT-1011-0-CCS <2019-06-02T06:23:08.257972Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001238 02.06 14:23:05.589 [192.168.255.129] dd FCT-1011-0-CCS <2019-06-02T06:23:08.315608Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
001241 02.06 14:23:05.599 [192.168.255.129] e0 FCT-1011-0-CCS <2019-06-02T06:23:08.331161Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
001254 02.06 14:23:05.792 [192.168.255.129] ed FCT-1011-0-CCS <2019-06-02T06:23:08.511774Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
001332 02.06 14:23:06.447 [192.168.255.129] 16 FCT-1011-0-CCS <2019-06-02T06:23:09.175522Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001335 02.06 14:23:06.530 [192.168.255.129] 19 FCT-1011-0-CCS <2019-06-02T06:23:09.259394Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001427 02.06 14:23:07.453 [192.168.255.129] 46 FCT-1011-0-CCS <2019-06-02T06:23:10.175336Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001431 02.06 14:23:07.533 [192.168.255.129] 49 FCT-1011-0-CCS <2019-06-02T06:23:10.259287Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001486 02.06 14:23:08.450 [192.168.255.129] 65 FCT-1011-0-CCS <2019-06-02T06:23:11.173511Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001496 02.06 14:23:08.532 [192.168.255.129] 6c FCT-1011-0-CCS <2019-06-02T06:23:11.257360Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001597 02.06 14:23:09.460 [192.168.255.129] aa FCT-1011-0-CCS <2019-06-02T06:23:12.193519Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001600 02.06 14:23:09.548 [192.168.255.129] ad FCT-1011-0-CCS <2019-06-02T06:23:12.277604Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001683 02.06 14:23:10.446 [192.168.255.129] dd FCT-1011-0-CCS <2019-06-02T06:23:13.170562Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001687 02.06 14:23:10.526 [192.168.255.129] e1 FCT-1011-0-CCS <2019-06-02T06:23:13.254417Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001795 02.06 14:23:11.459 [192.168.255.129] 2e FCT-1011-0-CCS <2019-06-02T06:23:14.193632Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
001798 02.06 14:23:11.543 [192.168.255.129] 31 FCT-1011-0-CCS <2019-06-02T06:23:14.275854Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
001808 02.06 14:23:11.594 [192.168.255.129] 39 FCT-1011-0-CCS <2019-06-02T06:23:14.325112Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
001815 02.06 14:23:11.624 [192.168.255.129] 3f FCT-1011-0-CCS <2019-06-02T06:23:14.350235Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
001827 02.06 14:23:11.796 [192.168.255.129] 46 FCT-1011-0-CCS <2019-06-02T06:23:14.524644Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
001915 02.06 14:23:12.450 [192.168.255.129] 76 FCT-1011-0-CCS <2019-06-02T06:23:15.173185Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
002001 02.06 14:23:12.574 [192.168.255.129] a2 FCT-1011-0-CCS <2019-06-02T06:23:15.264912Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
003794 02.06 14:23:13.478 [192.168.255.129] 58 FCT-1011-0-CCS <2019-06-02T06:23:16.174795Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
003805 02.06 14:23:13.525 [192.168.255.129] 5b FCT-1011-0-CCS <2019-06-02T06:23:16.259031Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
004226 02.06 14:23:14.443 [192.168.255.129] e5 FCT-1011-0-CCS <2019-06-02T06:23:17.173347Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
004245 02.06 14:23:14.521 [192.168.255.129] e8 FCT-1011-0-CCS <2019-06-02T06:23:17.257352Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
004532 02.06 14:23:15.473 [192.168.255.129] 3c FCT-1011-0-CCS <2019-06-02T06:23:18.186034Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
004535 02.06 14:23:15.535 [192.168.255.129] 3f FCT-1011-0-CCS <2019-06-02T06:23:18.270454Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
004638 02.06 14:23:16.456 [192.168.255.129] 87 FCT-1011-0-CCS <2019-06-02T06:23:19.183767Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
004641 02.06 14:23:16.534 [192.168.255.129] 8a FCT-1011-0-CCS <2019-06-02T06:23:19.267587Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
004656 02.06 14:23:16.659 [192.168.255.129] 98 FCT-1011-0-CCS <2019-06-02T06:23:19.397964Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
004663 02.06 14:23:16.721 [192.168.255.129] 9d FCT-1011-0-CCS <2019-06-02T06:23:19.443546Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
004669 02.06 14:23:16.830 [192.168.255.129] a1 FCT-1011-0-CCS <2019-06-02T06:23:19.554947Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
004892 02.06 14:23:17.439 [192.168.255.129] 11 FCT-1011-0-CCS <2019-06-02T06:23:20.174972Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
004896 02.06 14:23:17.532 [192.168.255.129] 14 FCT-1011-0-CCS <2019-06-02T06:23:20.259197Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005009 02.06 14:23:18.453 [192.168.255.129] 5a FCT-1011-0-CCS <2019-06-02T06:23:21.174645Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005012 02.06 14:23:18.531 [192.168.255.129] 5d FCT-1011-0-CCS <2019-06-02T06:23:21.258809Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005071 02.06 14:23:19.435 [192.168.255.129] 78 FCT-1011-0-CCS <2019-06-02T06:23:22.175626Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005074 02.06 14:23:19.529 [192.168.255.129] 7b FCT-1011-0-CCS <2019-06-02T06:23:22.259549Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005138 02.06 14:23:20.434 [192.168.255.129] 9e FCT-1011-0-CCS <2019-06-02T06:23:23.174184Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005141 02.06 14:23:20.527 [192.168.255.129] a1 FCT-1011-0-CCS <2019-06-02T06:23:23.259330Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005228 02.06 14:23:21.463 [192.168.255.129] d5 FCT-1011-0-CCS <2019-06-02T06:23:24.193531Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005231 02.06 14:23:21.541 [192.168.255.129] d8 FCT-1011-0-CCS <2019-06-02T06:23:24.277542Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005235 02.06 14:23:21.682 [192.168.255.129] db FCT-1011-0-CCS <2019-06-02T06:23:24.407799Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
005306 02.06 14:23:22.431 [192.168.255.129] fe FCT-1011-0-CCS <2019-06-02T06:23:25.173258Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005310 02.06 14:23:22.524 [192.168.255.129] 02 FCT-1011-0-CCS <2019-06-02T06:23:25.255827Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005315 02.06 14:23:22.571 [192.168.255.129] 07 FCT-1011-0-CCS <2019-06-02T06:23:25.305490Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
