*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-1011-0-CCS *{1,1} 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: *{1,1}
Support: 179

51 58 63 142 145 324 336 475 495 670 673 692 697 763 768 779 880 883 992 996 1064 1067 1122 1125 1217 1231 1234 1239 1244 1330 1333 1425 1429 1484 1492 1595 1598 1680 1685 1793 1796 1801 1812 1825 1913 1991 3790 3801 4222 4241 4530 4533 4636 4639 4653 4657 4666 4890 4894 5007 5010 5069 5072 5134 5139 5226 5229 5233 5304 5308 5311 5316 5395 5398 5459 5474 5529 5562 5615 5628 5732 5736 5747 5750 5755 5817 5820 5823 5879 5890 5954 5959 6007 6020 6105 6109 6112 6201 6204 6207 6212 6285 6288 6343 6364 6444 6457 6544 6565 6568 6619 6634 6711 6714 6717 6722 6768 6773 6820 6899 7709 7725 10245 10248 10251 10325 10328 10392 10427 10430 10435 10512 10532 10677 10687 11034 11046 11073 11292 11302 11484 11497 11646 11665 11672 11682 11847 11856 12180 12190 12203 13608 13717 13810 13815 13872 13885 14040 14051 14330 15184 17730 17859 18023 18160 19064 21063 21231 21532 21555 21778 21790 21842 21853 21856 21861 21865 22305 22464 
000051 02.06 14:22:55.425 [192.168.255.129] e4 FCT-1011-0-CCS <2019-06-02T06:22:58.165156Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
000058 02.06 14:22:55.518 [192.168.255.129] e9 FCT-1011-0-CCS <2019-06-02T06:22:58.247396Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
000063 02.06 14:22:55.643 [192.168.255.129] ee FCT-1011-0-CCS <2019-06-02T06:22:58.375546Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
000142 02.06 14:22:56.438 [192.168.255.129] 1b FCT-1011-0-CCS <2019-06-02T06:22:59.164106Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
000145 02.06 14:22:56.516 [192.168.255.129] 1e FCT-1011-0-CCS <2019-06-02T06:22:59.248379Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
000324 02.06 14:22:57.474 [192.168.255.129] 81 FCT-1011-0-CCS <2019-06-02T06:23:00.201722Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
000336 02.06 14:22:57.552 [192.168.255.129] 8c FCT-1011-0-CCS <2019-06-02T06:23:00.283616Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
000475 02.06 14:22:58.447 [192.168.255.129] fc FCT-1011-0-CCS <2019-06-02T06:23:01.168946Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
000495 02.06 14:22:58.527 [192.168.255.129] 11 FCT-1011-0-CCS <2019-06-02T06:23:01.254964Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
000670 02.06 14:22:59.446 [192.168.255.129] 7a FCT-1011-0-CCS <2019-06-02T06:23:02.174663Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
000673 02.06 14:22:59.524 [192.168.255.129] 7d FCT-1011-0-CCS <2019-06-02T06:23:02.256913Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
