*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-E000-0-racoam *{1,1} 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: *{1,1} resourceUri: *{1,1} changes in *{1,1}
Support: 172

155 311 509 744 831 893 1310 1346 1418 1590 1667 1855 1936 1939 1943 1997 2000 2014 2834 2905 2911 2983 3058 3132 3136 3210 3214 3281 3285 3631 3644 3647 3748 3829 3909 4003 4007 4016 4019 4034 4037 4051 4054 4067 4680 4684 4691 4695 4702 4706 4713 4717 4727 4738 4741 4751 4877 4904 4989 5321 5463 5535 5710 5773 6128 6557 6624 6639 7013 7016 7045 7048 7083 7087 7110 7113 7129 7132 7142 7146 7157 7160 7175 7178 7181 7196 7214 7217 7245 7248 7266 7269 7294 7297 7311 7421 7428 7431 7443 7451 7458 7461 7474 10287 10926 10949 11149 11152 11161 11176 11239 11252 11265 11314 11327 11338 11343 11616 11818 12247 18122 20603 20606 20617 20727 20731 20783 20786 20816 20858 20861 20864 20906 20944 20948 20989 20993 20996 21034 21075 21107 21110 21125 21167 21913 21916 21933 21943 21946 21955 21959 21970 21986 21989 22001 22005 22016 22020 22032 22035 22043 22047 22050 22054 22063 22070 22078 22081 22089 22092 22106 22290 
000155 02.06 14:22:56.626 [192.168.255.129] 41 FCT-E000-0-racoam <2019-06-02T06:22:59.357902Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
000311 02.06 14:22:57.443 [192.168.255.129] 69 FCT-E000-0-racoam <2019-06-02T06:23:00.167511Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
000509 02.06 14:22:58.552 [192.168.255.129] 6f FCT-E000-0-racoam <2019-06-02T06:23:01.278264Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
000744 02.06 14:23:00.352 [192.168.255.129] 92 FCT-E000-0-racoam <2019-06-02T06:23:03.086454Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
000831 02.06 14:23:01.364 [192.168.255.129] 98 FCT-E000-0-racoam <2019-06-02T06:23:04.093693Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
000893 02.06 14:23:01.576 [192.168.255.129] a2 FCT-E000-0-racoam <2019-06-02T06:23:04.298239Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
001310 02.06 14:23:06.380 [192.168.255.129] aa FCT-E000-0-racoam <2019-06-02T06:23:09.110592Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
